name,url,filepath,depth
MarkDObenshain,https://www.markobenshain.com/2023/04/27/fox-news-democratic-lawmakers-caught-on-hot-mic-mocking-parental-rights-as-garbage-stupid/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|04|27|fox-news-democratic-lawmakers-caught-on-hot-mic-mocking-parental-rights-as-garbage-stupid|16993049592670674,2
CECliffHayesJr,https://cliffhayes.com/team/,html/House/CECliffHayesJr/cliffhayes.com|team|16993049595208852,1
JoshuaGCole,https://www.jgcole.org/volunteer,html/House/JoshuaGCole/www.jgcole.org|volunteer1699304959727213,1
MarkDObenshain,https://www.markobenshain.com/2023/03/01/im-running/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|03|01|im-running|16993049597951412,2
CECliffHayesJr,https://cliffhayes.com/news/,html/House/CECliffHayesJr/cliffhayes.com|news|1699304960231179,1
JoshuaGCole,https://www.jgcole.org/voting,html/House/JoshuaGCole/www.jgcole.org|voting16993049603503256,1
MarkDObenshain,https://www.markobenshain.com/2023/02/03/judges-bail-heroes-and-budgets/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|02|03|judges-bail-heroes-and-budgets|16993049604997337,2
CECliffHayesJr,https://cliffhayes.com/media/,html/House/CECliffHayesJr/cliffhayes.com|media|1699304960894473,1
MarkDObenshain,https://www.markobenshain.com/2023/01/24/week-2-general-assembly-update/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|01|24|week-2-general-assembly-update|16993049610611873,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/12/mt-1214-home-gallery_era.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|12|mt-1214-home-gallery_era.jpg16993049611363566,1
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/12/mt-1214-home-gallery_healthcare.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|12|mt-1214-home-gallery_healthcare.jpg16993049615191693,1
MarkDObenshain,https://www.markobenshain.com/2023/01/17/week-1-general-assembly-update/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|01|17|week-1-general-assembly-update|1699304961786994,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/keciaclifvinyette.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|keciaclifvinyette.jpg16993049622079473,1
MarkDObenshain,https://www.markobenshain.com/2022/09/16/obenshain-releases-statement-on-the-2022-model-policies-on-the-privacy-dignity-and-respect-for-all-students-and-parents/,html/Senate/MarkDObenshain/www.markobenshain.com|2022|09|16|obenshain-releases-statement-on-the-2022-model-policies-on-the-privacy-dignity-and-respect-for-all-students-and-parents|16993049628075438,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/img_1262.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|img_1262.jpg16993049631636803,1
MarkDObenshain,https://www.markobenshain.com/cdn-cgi/l/email-protection,html/Senate/MarkDObenshain/www.markobenshain.com|cdn-cgi|l|email-protection16993049643424892,2
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|16993049645025737,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/j00a1357.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|j00a1357.jpg16993049645310578,1
EstherMNizer,https://www.nizer4va.org/projects-8,html/House/EstherMNizer/www.nizer4va.org|projects-816993049649901311,1
MarkDObenshain,https://www.markobenshain.com/2022/06/24/news-laws-take-effect-july-1/,html/Senate/MarkDObenshain/www.markobenshain.com|2022|06|24|news-laws-take-effect-july-1|16993049650839593,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/img_1342.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|img_1342.jpg16993049652272675,1
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/meet_angelia,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|meet_angelia16993049658513443,2
MarkDObenshain,https://www.markobenshain.com/2022/06/15/gov-youngkin-proposes-budget-amendments-on-gas-tax-cut-lab-schools-and-new-felony-for-protests-at-justices-homes/,html/Senate/MarkDObenshain/www.markobenshain.com|2022|06|15|gov-youngkin-proposes-budget-amendments-on-gas-tax-cut-lab-schools-and-new-felony-for-protests-at-justices-homes|16993049660285742,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2023/07/tiacoreyjackie91.png,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2023|07|tiacoreyjackie91.png1699304966053657,1
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/issues,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|issues169930496632988,2
MarkDObenshain,https://www.markobenshain.com/news/page/2/,html/Senate/MarkDObenshain/www.markobenshain.com|news|page|2|16993049667648134,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/j00a0053.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|j00a0053.jpg1699304966819825,1
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/news,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|news16993049671130598,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/img_1354.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|img_1354.jpg16993049676128912,1
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/view-endorsements,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|view-endorsements16993049682396302,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/excellencegirlsclub.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|excellencegirlsclub.jpg16993049685190856,1
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/volunteer,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|volunteer16993049689888701,2
MarkDObenshain,https://www.markobenshain.com/2023/02/02/senator-obenshain-releases-statement-on-public-safety-bills/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|02|02|senator-obenshain-releases-statement-on-public-safety-bills|1699305017956709,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/lisagontarekod.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|lisagontarekod.jpg16993050180881445,1
AngeliaWilliamsGraves,https://www.angeliawilliamsgraves.com/vote,html/Senate/AngeliaWilliamsGraves/www.angeliawilliamsgraves.com|vote16993050185318666,2
MarkDObenshain,https://www.markobenshain.com/2023/01/26/obenshain-statement-on-the-line-of-duty-act-bill-advancing-to-senate-floor/,html/Senate/MarkDObenshain/www.markobenshain.com|2023|01|26|obenshain-statement-on-the-line-of-duty-act-bill-advancing-to-senate-floor|1699305018613626,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/j00a1517.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|j00a1517.jpg1699305018829344,1
MarkDObenshain,https://www.markobenshain.com/2022/05/16/obenshain-releases-statement-on-rtd-bail-report/,html/Senate/MarkDObenshain/www.markobenshain.com|2022|05|16|obenshain-releases-statement-on-rtd-bail-report|16993050196258764,2
CECliffHayesJr,https://cliffhayes.com/mt-content/uploads/2019/05/j00a2781.jpg,html/House/CECliffHayesJr/cliffhayes.com|mt-content|uploads|2019|05|j00a2781.jpg1699305019675345,1
MarkDObenshain,https://www.markobenshain.com/2022/03/10/obenshain-releases-statement-on-failure-of-senate-to-confirm-parole-board-appointments/,html/Senate/MarkDObenshain/www.markobenshain.com|2022|03|10|obenshain-releases-statement-on-failure-of-senate-to-confirm-parole-board-appointments|16993050202215803,2
